postcode,ap_monitor,buffer_km,area_overlap,percent_overlap
2295,Carrington,5,3455011.23302883,28.9177833871795
2295,Stockton,5,7784778.22437606,65.1571052092902
2296,Newcastle,5,706259.64231745,100
2296,Carrington,5,706259.64231745,100
2296,Stockton,5,706259.64231745,100
2296,Mayfield,5,706259.64231745,100
2297,Newcastle,5,801099.698574844,100
2297,Carrington,5,801099.698574844,100
2297,Stockton,5,801099.698574844,100
2297,Mayfield,5,801099.698574844,100
2298,Newcastle,5,2386210.87008292,59.5931269139463
2298,Carrington,5,3597720.16920437,89.8493076753146
2298,Stockton,5,337405.956357141,8.42636173977945
2298,Wallsend,5,2171976.92841842,54.2428577340713
2298,Mayfield,5,4004171.27553763,100
2299,Newcastle,5,969329.375587635,18.3413392487106
2299,Carrington,5,1089664.0594515,20.618273504206
2299,Wallsend,5,4924743.92417257,93.1844234799106
2299,Mayfield,5,5249704.52844642,99.3332237077377
2300,Newcastle,5,3440266.47664228,100
2300,Carrington,5,3440266.47664228,100
2300,Stockton,5,3438661.14395419,99.953336966802
2302,Newcastle,5,828202.89706264,100
2302,Carrington,5,828202.89706264,100
2302,Stockton,5,828202.89706264,100
2302,Mayfield,5,34792.5533466185,4.20096977081536
2303,Newcastle,5,3000463.15674064,100
2303,Carrington,5,3000463.15674064,100
2303,Stockton,5,2469632.26678692,82.3083683343623
2303,Mayfield,5,1372189.07059586,45.7325752363662
2304,Newcastle,5,7461585.04902998,18.8876334933863
2304,Carrington,5,19632444.0266854,49.6959298753367
2304,Stockton,5,16806579.2294172,42.5427716332279
2304,Wallsend,5,4184550.60247752,10.5924220651212
2304,Mayfield,5,36145420.1487003,91.4954991127338
2305,Newcastle,5,3640059.24386894,41.3690993187911
2305,Carrington,5,2169166.12884343,24.6524693723672
2305,Wallsend,5,4398558.63103932,49.9894085991812
2305,Mayfield,5,3316275.49758834,37.6893125185478
2307,Wallsend,5,6558536.19631058,100
2307,Mayfield,5,6495935.19679635,99.0455034836974
2308,Carrington,5,94771.3769859858,5.29252355869742
2308,Wallsend,5,1790665.1890145,100
2308,Mayfield,5,1790665.1890145,100
2318,Stockton,5,195140.546603865,0.0776868342590718
2321,Beresfield,5,1621578.27611072,0.450448388348008
2322,Wallsend,5,9450430.93225041,5.66904769607376
2322,Mayfield,5,4058963.06353937,2.43485777196479
2322,Beresfield,5,61821799.6304445,37.0851586847848
2323,Beresfield,5,1181737.09509228,0.56420743261673
2324,Beresfield,5,13029749.2224799,2.07668636256008
2328,Merriwa,5,1150935.04049175,0.0684214465440282
2329,Merriwa,5,64168660.1048663,2.09961919882846
2330,Bulga,5,78217228.6514563,1.59555106954364
2330,Warkworth,5,78217228.6514797,1.59555106954411
2330,Singleton South,5,73734633.1375028,1.50411072845854
2330,Singleton,5,78068077.2573698,1.59250853440833
2330,Singleton NW,5,78217228.651434,1.59555106954318
2331,Singleton South,5,3743955.16105204,2.7268875137161
2331,Singleton,5,149148.08600428,0.108631122950052
2333,Merriwa,5,10968689.8736489,0.667147859598514
2333,Wybong,5,70777037.7592149,4.3048668340256
2335,Singleton South,5,738628.902275965,0.27515891236235
2336,Wybong,5,7440194.26655438,0.836944259955857
2337,Merriwa,5,1928941.42640981,0.0578961384017338
2350,Armidale,5,76355561.5526108,1.68133460104254
2351,Armidale,5,1861667.09722232,100
2555,Bringelly,5,16161600.3948607,59.9000986323905
2556,Bringelly,5,20855767.4642999,51.8627075684349
2557,Campbelltown West,5,3563585.94727013,9.7299683639581
2557,Bringelly,5,16772782.3089105,45.7961849822293
2558,Campbelltown West,5,6366903.06468186,83.7281267104586
2559,Campbelltown West,5,4349390.34158469,100
2560,Campbelltown West,5,38723827.6544301,9.41465141472772
2563,Campbelltown West,5,5174173.49404807,44.7580695078439
2565,Liverpool,5,116.49357843399,0.000391394616874031
2566,Campbelltown West,5,1910237.8909026,6.75123549627126
2567,Campbelltown West,5,16731741.6575519,53.3452615596128
2567,Camden,5,9826924.48362795,31.3308600882615
2570,Campbelltown West,5,646248.420949634,0.137686211735409
2570,Oakdale,5,73041457.4996508,15.5618199700693
2570,Camden,5,68390303.5866338,14.5708701406824
2571,Bargo,5,5076764.5266249,2.0283822530198
2574,Bargo,5,49252487.9788326,14.0629642934179
2575,Bargo,5,23887976.8811492,2.4540089481061
2580,Goulburn,5,78217228.6532961,1.49148717469732
2630,Cooma,5,78217228.6546323,1.8595596752996
2630,Cooma,5,78217228.6546323,1.8595596752996
2640,Albury,5,50674856.025949,4.91883658713649
2641,Albury,5,25651557.1805797,76.4830884677651
2650,Wagga Wagga North,5,75940292.539976,1.8698800741391
2650,Wagga Wagga North,5,75940292.539976,1.8698800741391
2652,Junee,5,75081455.9842281,1.22760083899562
2663,Junee,5,3135772.92906504,0.636520239788375
2666,Temora,5,78217228.6531497,3.17622443003858
2671,West Wyalong,5,78217228.652659,2.37184778990001
2678,Wagga Wagga North,5,2276941.0329958,64.8735835472132
2678,Wagga Wagga North,5,2276941.0329958,64.8735835472132
2680,Griffith,5,77239577.0208644,4.07714742260863
2681,Griffith,5,977655.577495828,0.207236503237439
2700,Narrandera,5,77628920.0494171,2.20682605909099
2705,Narrandera,5,588312.850680618,0.0521020934466728
2745,Bringelly,5,451545.371707753,0.267565676752594
2745,St Marys,5,2336465.54109818,1.38448542025509
2747,St Marys,5,10218821.501981,18.5573235169951
2747,Penrith,5,24658857.612837,44.7803494945306
2748,St Marys,5,28286241.3218804,65.6698299460605
2749,Penrith,5,29869778.3058978,63.4258478106509
2749,Richmond,5,0.458573829848319,9.73741205711053e-07
2750,Penrith,5,22594940.8028916,63.8817865209376
2753,Penrith,5,446508.641802241,0.268354295297834
2753,Richmond,5,63502332.5939311,38.1652718841679
2754,Richmond,5,3086592.6400311,8.99224977258888
2755,Richmond,5,3054318.43638837,100
2756,Richmond,5,7797255.5736592,0.524420118776476
2759,St Marys,5,15467850.2042688,99.1664252028013
2760,St Marys,5,13231672.4663398,66.3879609698887
2760,Penrith,5,102853.475180006,0.51605211005926
2762,Rouse Hill,5,10560719.8536479,76.1150223020702
2763,Rouse Hill,5,3945569.42224821,36.7759491563582
2765,Rouse Hill,5,28256887.1390308,21.612005492333
2765,Richmond,5,776734.368981861,0.594077732834642
